SubProfile ,Class ,Type ,SubType ,Profile ,SoftwareVersion
        00 ,   00 ,  02 ,     01 ,     02 ,5063303???
        00 ,   00 ,  02 ,     01 ,     02 ,5063307???
        00 ,   00 ,  02 ,     01 ,     02 ,5113386???
        00 ,   00 ,  02 ,     01 ,     02 ,5113387???
        00 ,   00 ,  02 ,     01 ,     02 ,5113388???
        00 ,   00 ,  02 ,     01 ,     02 ,5113389???
        00 ,   00 ,  02 ,     01 ,     02 ,5113390???
        00 ,   00 ,  02 ,     01 ,     02 ,5113391???
        00 ,   00 ,  02 ,     01 ,     02 ,5113392???
        00 ,   00 ,  02 ,     01 ,     02 ,5113393???
        00 ,   00 ,  02 ,     01 ,     02 ,5120680???
        00 ,   00 ,  02 ,     01 ,     02 ,5120725???
        00 ,   00 ,  02 ,     01 ,     02 ,5120726???
        00 ,   00 ,  02 ,     01 ,     02 ,5120727???
        00 ,   00 ,  02 ,     01 ,     02 ,5120728???
        00 ,   00 ,  02 ,     01 ,     02 ,5128569???
        00 ,   00 ,  02 ,     01 ,     02 ,5128570???
        00 ,   00 ,  02 ,     01 ,     02 ,5128571???
        00 ,   00 ,  02 ,     01 ,     02 ,5128572???
        00 ,   00 ,  02 ,     01 ,     02 ,5128573???
        00 ,   00 ,  02 ,     01 ,     02 ,5128574???
        00 ,   00 ,  02 ,     01 ,     03 ,5068815???
        00 ,   00 ,  02 ,     01 ,     04 ,5125936???
        00 ,   00 ,  02 ,     01 ,     06 ,5109156???
        00 ,   00 ,  02 ,     01 ,     09 ,5117834???
        00 ,   00 ,  02 ,     01 ,     10 ,5125936???
        00 ,   00 ,  02 ,     01 ,     15 ,5127170???
        00 ,   00 ,  02 ,     01 ,     16 ,5125936???
        00 ,   00 ,  02 ,     01 ,     19 ,5125936???
        00 ,   00 ,  02 ,     01 ,     21 ,5132777???
        00 ,   00 ,  02 ,     01 ,     29 ,5133756???
        00 ,   00 ,  02 ,     02 ,     02 ,5120681???
        00 ,   00 ,  02 ,     02 ,     02 ,5120729???
        00 ,   00 ,  02 ,     02 ,     02 ,5120730???
        00 ,   00 ,  02 ,     02 ,     02 ,5120731???
        00 ,   00 ,  02 ,     02 ,     02 ,5120732???
        00 ,   00 ,  02 ,     02 ,     03 ,5125936???
        00 ,   00 ,  02 ,     02 ,     06 ,5143804???
        00 ,   00 ,  02 ,     02 ,     10 ,5134524???
        00 ,   00 ,  02 ,     02 ,     16 ,5137134???
        00 ,   00 ,  02 ,     02 ,     29 ,5145655???
        00 ,   00 ,  02 ,     03 ,     02 ,5125936???
        00 ,   00 ,  02 ,     03 ,     10 ,5133431???
        00 ,   00 ,  02 ,     03 ,     16 ,5052774???
        00 ,   00 ,  02 ,     03 ,     16 ,5066543???
        00 ,   00 ,  02 ,     03 ,     16 ,5071665???
        00 ,   00 ,  02 ,     03 ,     16 ,5104761???
        00 ,   00 ,  02 ,     04 ,     02 ,5137459???
        00 ,   00 ,  02 ,     04 ,     10 ,5140569???
        00 ,   00 ,  02 ,     04 ,     16 ,5118126???
        00 ,   00 ,  02 ,     05 ,     02 ,5129486???
        00 ,   00 ,  02 ,     05 ,     10 ,5150310???
        00 ,   00 ,  02 ,     05 ,     16 ,5138672???
        00 ,   00 ,  02 ,     06 ,     02 ,5120877???
        00 ,   00 ,  02 ,     06 ,     03 ,5137136???
        00 ,   00 ,  02 ,     07 ,     02 ,5012597???
        00 ,   00 ,  02 ,     07 ,     02 ,5100394???
        00 ,   00 ,  02 ,     07 ,     03 ,5052774???
        00 ,   00 ,  02 ,     08 ,     02 ,5067346???
        00 ,   00 ,  02 ,     08 ,     02 ,5117737???
        00 ,   00 ,  02 ,     08 ,     03 ,5066543???
        00 ,   00 ,  02 ,     08 ,     03 ,5071665???
        00 ,   00 ,  02 ,     08 ,     03 ,5104761???
        00 ,   00 ,  02 ,     09 ,     02 ,5141146???
        00 ,   00 ,  02 ,     09 ,     03 ,5111165???
        00 ,   00 ,  02 ,     10 ,     02 ,5139319???
        00 ,   00 ,  02 ,     10 ,     02 ,5139320???
        00 ,   00 ,  02 ,     10 ,     02 ,5139321???
        00 ,   00 ,  02 ,     10 ,     02 ,5139322???
        00 ,   00 ,  02 ,     10 ,     03 ,5121525???
        00 ,   00 ,  02 ,     11 ,     02 ,5140201???
        00 ,   00 ,  02 ,     11 ,     03 ,5118126???
        00 ,   00 ,  02 ,     12 ,     02 ,5140200???
        00 ,   00 ,  02 ,     13 ,     02 ,5151297???
        00 ,   00 ,  02 ,     13 ,     02 ,5151298???
        00 ,   00 ,  02 ,     13 ,     02 ,5151299???
        00 ,   00 ,  02 ,     13 ,     02 ,5158759???
        00 ,   00 ,  12 ,     01 ,     51 ,?543210???
        00 ,   00 ,  12 ,     02 ,     51 ,?686008???
        00 ,   00 ,  12 ,     03 ,     51 ,?722802???
        00 ,   00 ,  12 ,     04 ,     51 ,?722803???
        00 ,   00 ,  12 ,     05 ,     51 ,?722801???
        00 ,   00 ,  12 ,     06 ,     51 ,?751001???
        00 ,   00 ,  12 ,     07 ,     51 ,?752001???
        00 ,   00 ,  12 ,     08 ,     51 ,?754001???
        00 ,   00 ,  12 ,     09 ,     51 ,?722804???
        00 ,   00 ,  12 ,     10 ,     51 ,?668008???
        00 ,   01 ,  02 ,     01 ,     02 ,5145198???
        00 ,   01 ,  02 ,     01 ,    133 ,5137557???
        00 ,   01 ,  02 ,     01 ,    254 ,5151415???
        00 ,   01 ,  02 ,     02 ,     02 ,5153107???
        00 ,   01 ,  02 ,     02 ,     02 ,5155003???
        00 ,   01 ,  02 ,     02 ,    254 ,5155011???
        01 ,   00 ,  02 ,     01 ,     02 ,5067206???
        01 ,   00 ,  02 ,     01 ,     06 ,5135418???
        01 ,   00 ,  02 ,     01 ,     16 ,5131572???
        01 ,   00 ,  02 ,     01 ,     27 ,5137569???
        01 ,   00 ,  02 ,     02 ,     02 ,5105841???
        01 ,   00 ,  02 ,     02 ,     16 ,5067331???
        01 ,   00 ,  02 ,     02 ,     16 ,5104296???
        01 ,   00 ,  02 ,     02 ,     16 ,5126234???
        01 ,   00 ,  11 ,     01 ,     00 ,28112012??
        01 ,   00 ,  12 ,     01 ,     22 ,ccccccc,{0,1}
        01 ,   00 ,  12 ,     01 ,     52 ,ccccccc3{0,2}
        01 ,   00 ,  12 ,     02 ,     52 ,ccccccc6{0,1}
        01 ,   00 ,  12 ,     03 ,     52 ,ccccccc6{0,2}
        01 ,   00 ,  12 ,     04 ,     52 ,ccccccc8{0,0}
        01 ,   00 ,  12 ,     05 ,     52 ,ccccccc6{0,3}
        02 ,   00 ,  02 ,     01 ,     06 ,5135669???
        58 ,   00 ,  02 ,     00 ,     07 ,5101985A??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985B??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985C??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985D??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985E??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F00
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F01
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F02
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F03
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F04
        58 ,   00 ,  02 ,     00 ,     07 ,5102007A??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007B??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007C??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007D??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007E??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007F??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G00
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G01
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G02
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G03
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G04
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G05
        58 ,   00 ,  02 ,     00 ,     07 ,5107456A??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456B??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456C??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456D??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456E??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456F??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G00
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G01
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G02
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G03
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G04
        58 ,   00 ,  02 ,     00 ,     07 ,5112334A??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334B??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334C??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334D??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334E??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334F??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G00
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G01
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G02
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G03
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G04
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G05
        58 ,   00 ,  02 ,     00 ,     07 ,5140784A00
        58 ,   00 ,  02 ,     01 ,     05 ,5134086???
        58 ,   00 ,  02 ,     01 ,     06 ,5113142???
        58 ,   00 ,  02 ,     01 ,     06 ,5133033???
        58 ,   00 ,  02 ,     01 ,     07 ,5101985???
        58 ,   00 ,  02 ,     01 ,     21 ,5124182???
        58 ,   00 ,  02 ,     02 ,     05 ,5105491???
        58 ,   00 ,  02 ,     02 ,     06 ,5154604???
        58 ,   00 ,  02 ,     02 ,     07 ,5140784???
        58 ,   00 ,  02 ,     03 ,     05 ,5153331???
        58 ,   00 ,  02 ,     03 ,     07 ,5102007???
        58 ,   00 ,  02 ,     04 ,     05 ,5153439???
        58 ,   00 ,  02 ,     04 ,     07 ,5112334???
        58 ,   00 ,  02 ,     05 ,     05 ,5156018???
        58 ,   00 ,  02 ,     05 ,     07 ,5107456???
        58 ,   00 ,  02 ,     06 ,     05 ,5143939???
        58 ,   00 ,  02 ,     06 ,     05 ,5143939???
        58 ,   00 ,  02 ,     06 ,     07 ,5134085???
        58 ,   00 ,  02 ,     07 ,     07 ,5153765???
